STATE,IDCENSUS,NAME,CONUM,CSA,CBSA,SCHLEV,NCESID,YRDATA,V33,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C24,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30,U50,U97,TOTALEXP,TCURELSC,TCURINST,E13,J13,J12,J14,V91,V92,TCURSSVC,E17,E07,E08,E09,V40,V45,V90,V85,J17,J07,J08,J09,J40,J45,J90,J11,J96,TCUROTH,E11,V60,V65,J10,J97,NONELSEC,V70,V75,V80,J98,TCAPOUT,F12,G15,K09,K10,K11,J99,L12,M12,Q11,I86,Z32,Z33,V11,V13,V15,V17,V21,V23,V37,V29,Z34,V10,V12,V14,V16,V18,V22,V24,V38,V30,V32,_19H,_21F,_31F,_41F,_61V,_66V,W01,W31,W61
21,21100100130100,ALLEGANY COUNTY PUBLIC SCHOOLS,24001,N,19060,03,2400030,17,8702,151059,11932,2778,2482,554,0,123,0,1967,2989,0,405,0,634,106788,41265,22,10816,21641,0,13,0,182,20719,4647,372,0,0,7111,0,32339,30306,0,0,0,0,0,0,0,67,0,1122,0,0,0,6,0,22,14,0,0,802,148271,124042,81065,75313,5752,0,0,0,0,37906,4595,4557,721,7591,11286,6044,1753,0,338,370,0,651,0,0,0,0,0,5071,5071,0,0,0,0,536,536,0,0,0,23583,22331,0,890,362,0,0,0,0,76,34,91520,47832,2811,3077,325,5415,5050,972,1094,2083,25613,17455,1015,1110,124,1955,2039,380,424,1110,0,1226,0,519,707,0,0,0,0,0
21,21100200230100,ANNE ARUNDEL CO SCHS,24003,548,12580,03,2400060,17,81379,1276972,58216,12758,17896,1720,0,630,852,206,16831,0,2127,0,5196,469274,220957,301,27545,68811,11063,56,0,1242,54090,23300,740,0,0,61169,0,749482,732821,0,0,0,0,0,0,0,230,0,11132,0,0,0,244,0,76,702,0,0,4277,1274813,1117710,716642,668244,48398,0,0,0,0,371709,41773,51437,7902,73161,94131,56536,33998,0,3386,3469,0,5916,0,0,0,0,0,29359,29359,0,0,0,0,569,569,0,0,0,133185,123713,0,3433,6039,0,0,0,0,22853,496,753870,438672,30694,31439,3185,53617,36593,5194,21731,8463,225199,158658,10284,10227,1640,17945,12223,1735,6683,5803,0,47003,0,29640,17364,0,0,0,0,0
21,21100300330100,BALTIMORE COUNTY SCHOOLS,24005,548,12580,03,2400120,17,112139,1840240,105625,28301,25793,3286,0,1003,634,10988,31376,0,130,0,4114,767249,383989,0,53710,146226,14895,26,0,1261,46626,30501,8684,0,0,81331,0,967366,950077,0,0,0,0,0,0,0,281,0,13018,0,0,0,4,0,242,616,0,0,3128,1853448,1598603,1010166,946853,63313,0,0,0,0,541868,78655,65770,9401,107178,142158,70785,49904,0,5855,4149,0,8013,0,0,0,0,0,46569,46569,0,0,0,0,766,766,0,0,0,208241,194518,0,319,13404,0,0,0,0,44738,1100,1123637,609635,56381,39948,5849,77155,58346,35365,27990,17684,324716,214609,19909,13760,2621,27022,20407,12369,8511,5508,0,32149,0,15749,16400,0,0,0,0,0
21,21100500430100,CALVERT CO SCHS,24009,548,47900,03,2400150,17,15950,251983,10997,1741,3566,377,0,129,51,133,1564,0,323,0,3113,106601,60771,0,4672,10369,471,19,0,32,10064,5736,732,0,0,13735,0,134385,128454,0,0,0,0,0,0,0,183,0,989,0,0,0,52,0,0,59,0,0,4648,246058,221203,142355,131175,11180,0,0,0,0,74067,9318,7368,1340,11622,21227,14370,6267,0,828,647,0,1080,0,0,0,0,0,4781,4781,0,0,0,0,1500,1500,0,0,0,21185,18063,0,1743,1379,0,0,0,0,1962,208,150326,92357,6843,5344,819,8921,9548,1234,3677,2021,43043,31277,2011,1325,254,2461,3537,357,1073,748,0,5474,0,1311,4164,0,0,0,0,0
21,21100600530100,CAROLINE CO SCHS,24011,N,N,03,2400180,17,5705,80821,8062,1871,1395,239,0,81,53,1091,2605,0,0,0,727,55390,26959,0,2799,14519,2115,33,0,271,91,2653,1730,0,0,4220,0,17369,13983,0,0,0,0,0,0,0,2,0,777,0,0,0,0,0,0,55,0,0,2552,83220,77548,48344,45025,3319,0,0,0,0,25642,3601,3799,771,4719,5866,4350,1634,0,290,283,0,329,0,0,0,0,0,3562,3562,0,0,0,0,1238,1238,0,0,0,2781,1624,0,892,265,0,0,0,0,1625,28,48253,30650,2676,2613,443,3036,2405,1640,808,1120,14856,10024,878,798,145,994,787,537,265,429,0,1130,0,571,559,0,0,0,0,0
21,21100700630100,CARROLL CO SCHS,24013,548,12580,03,2400210,17,25255,382253,13777,2396,5669,537,0,226,17,455,2764,0,0,0,1713,159263,95257,0,10603,14460,907,24,0,80,4255,9779,4746,0,0,19152,0,209213,204212,0,0,0,0,0,0,0,222,14,3177,0,0,0,41,0,70,38,0,0,1439,363640,350730,220725,205990,14735,0,0,0,0,124124,17669,15861,1310,21397,35958,21358,6153,0,1466,1234,0,1718,0,0,0,0,0,5881,5881,0,0,0,0,312,312,0,0,0,12170,9527,0,582,2061,0,0,0,0,242,186,203711,132666,13195,11115,565,15468,13613,1040,4093,2118,76809,54798,3994,3183,220,5313,6614,370,1279,1038,0,12414,0,3720,8694,0,0,0,0,0
21,21100800730100,CECIL COUNTY PUBLIC SCHOOLS,24015,428,37980,03,2400240,17,15633,233512,13645,3104,3710,557,0,165,36,0,4232,0,0,0,1841,122748,66008,0,7948,24256,881,22,0,325,5146,5192,452,0,0,12518,0,97119,85699,0,0,0,0,0,0,0,103,0,1849,0,0,0,0,0,0,87,0,0,9381,223666,207805,132085,122305,9780,0,0,0,0,69629,9510,9517,1509,14259,17106,10243,4747,0,788,754,0,1196,0,0,0,0,0,6091,6091,0,0,0,0,429,429,0,0,0,12951,9474,0,926,2551,0,0,0,0,2424,57,135062,86473,6971,6671,914,10571,7507,767,2963,2377,36622,25579,2064,1801,363,3059,2183,223,758,592,0,5693,0,2642,3051,0,0,0,0,0
21,21100900830100,CHARLES CO SCHS,24017,548,47900,03,2400270,17,26390,414693,20515,4071,5042,842,0,231,80,1927,6750,0,779,5,788,192602,110193,0,11456,31968,1726,45,0,420,4296,10781,1206,0,0,20511,0,201576,191773,0,0,0,0,0,0,0,512,0,5223,0,0,0,135,0,0,194,0,0,3739,409894,376532,221219,205225,15994,0,0,0,0,142163,18089,17052,1212,20411,41995,26663,12224,0,1374,1350,0,1793,0,0,0,0,0,13150,13150,0,0,0,0,2875,2169,706,0,0,26446,21161,2443,57,2785,0,0,0,0,3756,285,235550,144279,12397,12175,599,16172,14489,1075,6596,4447,71512,47319,2450,2273,233,3768,11009,300,2676,1484,0,8583,0,2883,5700,0,0,0,0,0
21,21101000930100,DORCHESTER CO SCHS,24019,548,15700,03,2400300,17,4816,76445,8808,2014,1178,271,0,96,28,1744,2288,0,988,0,201,47369,20539,0,856,12068,579,0,0,101,4921,2479,2270,0,0,3556,0,20268,19133,0,0,0,0,0,0,0,33,0,373,0,0,0,6,0,0,21,0,0,702,76610,70809,42788,40093,2695,0,0,0,0,25328,3019,4571,576,5041,6252,3689,1319,0,187,310,0,364,0,0,0,0,0,2693,2693,0,0,0,0,46,0,46,0,0,5692,5366,0,15,311,0,0,0,0,63,0,44481,25894,1798,2981,276,3500,2330,570,865,901,13112,8863,578,828,89,1125,729,183,287,429,0,0,0,0,0,0,0,0,0,0
21,21101101030100,FREDERICK CO SCHOOLS,24021,548,47900,03,2400330,17,41317,671063,23443,4797,7789,842,0,280,326,828,6118,0,10,0,2453,279844,160820,0,14848,33423,7276,38,0,287,15790,12284,3952,0,0,31126,0,367776,359324,0,0,0,0,0,0,0,88,0,4486,0,0,0,66,0,0,124,0,0,3688,644308,542969,342737,318086,24651,0,0,0,0,188022,26077,33891,1664,32304,53670,22099,11842,0,1624,2334,0,2517,0,0,0,0,0,12210,12210,0,0,0,0,951,951,0,0,0,90452,84331,0,154,5967,0,0,0,0,9558,378,406316,215588,14205,20414,887,22013,23183,13835,6943,3967,122640,82030,5457,7585,532,8528,8889,4760,2476,2383,0,24950,0,8215,16734,0,0,0,0,0
21,21101201130100,GARRETT COUNTY SCHOOLS,24023,N,N,03,2400360,17,3833,59904,5027,1146,1040,429,0,47,0,294,1411,0,0,0,660,25276,11233,0,990,5024,6,12,0,139,0,2968,1878,0,0,3026,0,29601,28529,0,0,0,0,0,0,0,0,0,751,0,0,0,7,0,27,11,0,0,276,58489,55111,31479,29088,2391,0,0,0,0,20993,3156,2069,423,2591,5700,4093,2327,0,273,149,0,212,0,0,0,0,0,2639,2639,0,0,0,0,462,462,0,0,0,2552,1663,0,194,695,0,0,0,0,364,0,32311,20340,2321,1269,191,1807,2045,185,913,1115,11199,6854,706,398,45,583,984,77,1158,395,0,0,0,0,0,0,0,0,0,0
