Year,IDCENSUS,NAME,CONUM,CSA,CBSA,NCESID,ENROLL,TOTALREV,TFEDREV,FEDRCOMP,FEDRSPEC,FEDRNUTR,FEDROTHR,TSTREV,STRFORM,STRSPEC,STRTRANS,STROTHR,TLOCREV,LOCRTAX,LOCRPROP,LOCRPAR,LOCRCICO,LOCROSCH,LOCRCHAR,LOCROTHR,TOTALEXP,TCURSPND,TSALWAGE,TEMPBENE,TCURINST,TCURISAL,TCURIBEN,TCURSSVC,TCURSPUP,TCURSSTA,TCURSGEN,TCURSSCH,TCURSOTH,TCURONON,TCAPOUT,TPAYOTH,TINTRST,DEBTOUT,LONGISSU,LONGRET,PCTTOTAL,PCTFTOT,PCTFCOMP,PCTSTOT,PCTSFORM,PCTLTOT,PCTLTAXP,PCTLOTHG,PCTLCHAR,PPCSTOT,PPSALWG,PPEMPBEN,PPITOTAL,PPISALWG,PPIEMBEN,PPSTOTAL,PPSPUPIL,PPSSTAFF,PPSGENAD,PPSSCHAD
2016,21100100130100,ALLEGANY COUNTY PUBLIC SCHOOLS,24001,N,19060,2400030,8812,130402,12281,2653,2512,3026,4090,85997,40649,6881,4586,33881,32124,0,0,30124,0,71,1257,672,128183,123876,72255,35685,79525,48589,25376,39019,5089,5969,710,8012,19239,5332,3675,44,588,1226,0,1160,100,9.4,2,65.9,31.2,24.6,23.1,0.1,1,14043,8200,4050,9025,5514,2880,4428,578,677,81,909
2016,21100200230100,ANNE ARUNDEL CO SCHS,24003,548,12580,2400060,80387,1206658,55404,10300,17759,16659,10686,441426,210136,27854,22801,180635,709828,0,0,695132,0,560,11221,2915,1257907,1062854,768351,271710,671686,429922,194089,362543,44449,52524,7761,78680,179129,28625,143045,23345,28663,47003,0,41210,100,4.6,0.9,36.6,17.4,58.8,57.6,0,0.9,13215,9558,3380,8356,5348,2414,4510,553,653,97,979
2016,21100300330100,BALTIMORE COUNTY SCHOOLS,24005,548,12580,2400120,111138,1782381,102256,26382,25992,31245,18637,749315,375855,51338,29834,292288,930810,0,0,910296,0,2580,13641,4293,1728277,1502073,1061877,397003,920119,585470,271420,536378,81864,68773,10546,112722,262473,45576,169858,42389,13957,32149,0,25813,100,5.7,1.5,42,21.1,52.2,51.1,0.1,0.8,13512,9555,3572,8279,5268,2442,4826,737,619,95,1014
2016,21100500430100,CALVERT CO SCHS,24009,548,47900,2400150,16017,235345,10233,1653,3229,1620,3731,94034,57547,4510,5690,26287,131078,0,0,123423,0,0,1875,5780,228475,220067,134906,56660,141064,92099,43464,72055,9964,7448,1228,12405,41010,6948,4886,2004,1518,5474,0,5347,100,4.3,0.7,40,24.5,55.7,52.4,0,0.8,13619,8423,3537,8807,5750,2714,4499,622,465,77,774
2016,21100600530100,CAROLINE CO SCHS,24011,N,N,2400180,5602,82819,7832,1539,1394,2477,2422,56872,26317,2597,2635,25323,18115,0,0,13765,0,0,723,3627,78083,73732,44571,18587,44481,28801,13063,24695,3872,3951,750,4871,11251,4556,2414,1427,510,1130,0,1574,100,9.5,1.9,68.7,31.8,21.9,16.6,0,0.9,12957,7956,3318,7940,5141,2332,4408,691,705,134,870
2016,21100700630100,CARROLL CO SCHS,24013,548,12580,2400210,25551,368005,13486,2293,5656,2749,2788,155112,95184,10549,9658,39721,199407,0,0,194155,0,117,3980,1155,348448,335452,200694,90685,206505,129955,64998,122712,18601,17381,1317,23875,61538,6235,8859,193,3944,12414,0,8635,100,3.7,0.6,42.1,25.9,54.2,52.8,0,1.1,13116,7855,3549,8082,5086,2544,4803,728,680,52,934
2016,21100800730100,CECIL COUNTY PUBLIC SCHOOLS,24015,428,37980,2400240,15859,229420,13322,2835,3643,4192,2652,117491,63468,7676,5061,41286,98607,0,0,88051,0,0,1985,8571,220778,201661,134033,51111,127570,83794,36892,67510,9891,9866,1329,15244,31180,6581,13650,2812,2655,5693,0,4873,100,5.8,1.2,51.2,27.7,43,38.4,0,0.9,12708,8452,3223,8044,5284,2326,4257,624,622,84,961
2016,21100900830100,CHARLES CO SCHS,24017,548,47900,2400270,26307,403612,18628,3570,4987,6445,3626,196303,107267,9255,10548,69233,188681,0,0,179852,0,0,6338,2491,399543,366944,231924,91438,213389,141613,61895,138505,20050,17188,1257,21997,78013,15050,26420,3282,2897,8583,0,9576,100,4.6,0.9,48.6,26.6,46.7,44.6,0,1.6,13839,8816,3476,8111,5383,2353,5265,762,653,48,836
2016,21101000930100,DORCHESTER CO SCHS,24019,548,15700,2400300,4739,73089,7739,2016,1153,2155,2415,43616,20469,1035,0,22112,21734,0,0,20592,0,0,489,653,72388,69629,41246,16339,41511,25287,11255,25351,3232,5315,574,5357,10873,2767,2138,64,557,0,0,0,100,10.6,2.8,59.7,28,29.7,28.2,0,0.7,14678,8704,3448,8759,5336,2375,5349,682,1122,121,1130
2016,21101101030100,FREDERICK CO SCHOOLS,24021,548,47900,2400330,40655,632203,16281,4215,7568,48,4450,287412,160074,14397,12163,100778,328510,0,0,320147,0,0,5969,2394,611867,533357,383394,152037,332226,212780,109608,188006,26848,40011,1509,33893,85745,13125,67950,2551,8009,24950,0,22069,100,2.6,0.7,45.5,25.3,52,50.6,0,0.9,13090,9430,3740,8172,5234,2696,4624,660,984,37,834
