County,year2011,year2012,year2013,year2014,year2015,year2016,year2017
Allegany County,104793.9167,104117.0833,96352.75,94051.66667,92641.08333,89574.41667,89690.25
Anne Arundel County,315419.75,309036.3333,322449.0833,330076.5,331766.5833,336686.9167,346809
Baltimore City,125913.75,118483.5,122688.25,129058.1667,131343.3333,135319.4167,140002.1667
Baltimore County,226687.1667,218915.3333,225928.75,231683.1667,230906.4167,235608.1667,242782.8333
Calvert County,328829.5,310100.8333,309143.1667,316640,326296.75,315884.9167,329729.9167
Caroline County,174600.3333,172953.25,175437.9167,179328.1667,179978.25,180729.8333,181688.0833
Carroll County,291524.4167,294017.3333,305488.6667,313232.5,311736.6667,315600.9167,327748
Cecil County,229715.8333,217554.4167,215787.1667,223304.8333,216978,215113.4167,230654.9167
Charles County,254431.8333,250763.6667,256879.25,273200.5,272874.25,281459.1667,293851.6667
Dorchester County,144215,142710.6667,144038.75,145835.6667,146346.25,146327.1667,146718.6667
Frederick County,274532.4167,272622.1667,293382.5833,305191.1667,305696.0833,310868.25,321636.75
Garrett County,162905.6667,161422.5833,164746.0833,169330.5,173689.3333,179794.4167,185195.4167
Harford County,266873.0833,260629.3333,263382.5833,268650.8333,266483.9167,273163.8333,281312
Howard County,406473.9167,398031.8333,417029.9167,428447.4167,426123.5833,430399.6667,443143.6667
Kent County,206618.75,205585.0833,208384.4167,213110.1667,215973.25,216871.1667,220583.5833
Montgomery County,401249.9167,398892.4167,424581.25,442347.5833,441275.75,442685.0833,454661.8333
Prince Georges County,207053.0833,201346.25,218767.6667,244031.9167,254970.25,270077.5,287317.6667
Queen Annes County,236817.6667,242382.5,253407.9167,279289.9167,270236.9167,294682.9167,327998.8333
Saint Marys County,269909,265519.6667,275476.4167,275111.4167,269685.75,270269,276909
Somerset County,107948,106401.5,107716.5833,110107,110748.25,110547.25,111231.1667
Talbot County,261141.25,255747.25,281815.1667,282580.1667,288786.1667,283429.3333,288033.5833
Washington County,171388.6667,168510.9167,175542.1667,179216.3333,181903.4167,182780.0833,192922.6667
Wicomico County,151756.4167,135513.9167,148816.5,142083,147250.8333,145421.75,149366.5
Worcester County,240240.8333,238818.75,237683.4167,237728.75,237701.9167,239264.25,242897.9167
