Year,NAME,TFEDREV,TSTREV,TLOCREV,other_local,farms,sped,lep,TOTALREV,PPCSTOT,enrollment
2011,ALLEGANY COUNTY PUBLIC SCHOOLS,"8,745,725",92747116,28240000,559305,4296,1337,25,129732841,15300,8516
2011,ANNE ARUNDEL CO SCHS,"45,762,379",364724918,562360000,2762200,18498,7882,2452,972847297,13218,73811
2011,BALTIMORE CITY SCHOOLS,"126,170,392",953723458,206668572,3040000,65682,13893,1825,1286562422,16338,78933
2011,BALTIMORE COUNTY SCHOOLS,"87,122,141",617601802,663192510,11139997,39054,13310,3365,1367916453,13713,100562
2011,CALVERT CO SCHS,"10,836,953",103857956,105010110,654118,3013,1808,173,219705019,13428,16410
2011,CAROLINE CO SCHS,"5,200,862",47486321,12415902,568381,2631,555,173,65103085,12693,5174
2011,CARROLL CO SCHS,"14,414,088",166466503,166878900,3050541,3829,3312,167,347759491,12963,27063
2011,CECIL COUNTY PUBLIC SCHOOLS,"11,689,284",115099142,68350618,559704,5455,2128,126,195139044,12752,15347
2011,CHARLES CO SCHS,"18,301,649",175051921,145296600,1819080,6844,2365,173,338650170,13099,25992
2011,DORCHESTER CO SCHS,"3,480,406",36020555,17389545,785456,2419,454,79,56890506,13171,4379
2011,FREDERICK CO SCHOOLS,25802315,246228425,228825838,3018850,7902,4569,1305,500856578,12848,39217
2011,GARRETT COUNTY SCHOOLS,4503256,28730284,23159000,71650,1947,532,3,56392540,13805,4090
2011,HARFORD CO SCH,28322059,243871532,214061789,2921958,9464,5277,445,486255380,13006,37612
2011,HOWARD COUNTY SCHOOLS,29778191,269746694,464708788,5274290,7149,4422,2082,764233673,15403,49957
2011,KENT COUNTY SCHOOLS,1541807,12139855,17154835,123400,917,344,59,30836497,15214,2035
2011,MONTGOMERY COUNTY SCHOOLS,92163969,694636439,1415085344,15011659,38762,16898,16531,2201885752,15776,140520
2011,PRINCE GEORGES CO SCHS,137200981,1007323204,599014431,14289488,61663,14503,13681,1743538616,14618,120248
2011,QUEEN ANNES COUNTY SCHOOLS,6384981,37975828,47957462,1048031,1525,928,127,92318271,12467,7489
2011,ST MARYS CO SCHS,11853282,109495739,76000000,781071,4235,1990,139,197349021,12034,16464
2011,SOMERSET CO SCHS,4580789,26804993,8751100,185000,1743,404,81,40136882,14901,2706
2011,TALBOT CO SCHS,2443856,14949753,34329542,197000,1414,370,162,51723151,12194,4258
2011,WASHINGTON CO SCHS,18600797,162863544,88829790,1052390,9019,2459,389,270294131,12523,21668
2011,WICOMICO CO SCHOOLS,13703829,129163360,43196892,1535632,6665,1710,359,186064081,13101,14320
2011,WORCESTER CO BOARD OF EDUCATION,7317036,26066127,71339072,275452,2480,709,141,104722235,16585,6331
2012,ALLEGANY COUNTY PUBLIC SCHOOLS,7653177,87440961,28240000,542865,4329,4436,1309,123334138,14658,8414
2012,ANNE ARUNDEL CO SCHS,36495600,372148353,556105600,3085000,20120,21195,7994,964749553,12963,74423
2012,BALTIMORE CITY SCHOOLS,149932741,957116763,242110406,2360000,65957,66683,13970,1349159910,16971,79495
2012,BALTIMORE COUNTY SCHOOLS,77865178,633144954,668495342,11268610,42029,44887,13402,1379505474,13579,101587
2012,CALVERT CO SCHS,6558514,99680608,109059947,405000,3421,3587,1672,215299069,13312,16173
2012,CAROLINE CO SCHS,3197375,47078246,12299444,458000,2679,2858,559,62575065,11985,5221
2012,CARROLL CO SCHS,16690541,165676277,163460000,3123615,4058,4409,3299,345826818,12909,26789
2012,CECIL COUNTY PUBLIC SCHOOLS,7897319,112204067,67156014,493000,5720,6156,2084,187257400,12289,15237
2012,CHARLES CO SCHS,19075049,179963356,145620700,1819080,7232,7350,2397,344659105,13312,25889
2012,DORCHESTER CO SCHS,4187392,35679983,16481888,803251,2539,2648,454,56349263,12832,4391
2012,FREDERICK CO SCHOOLS,17851611,254570810,220790370,3200525,8600,8800,4527,493212791,12532,39355
2012,GARRETT COUNTY SCHOOLS,3156928,27076377,24859000,73000,1846,1811,490,55092305,13961,3946
2012,HARFORD CO SCH,20640579,242231295,214291627,2638808,10024,10018,5517,477163501,12742,37448
2012,HOWARD COUNTY SCHOOLS,18270169,274248286,467617041,5025310,7937,8696,4611,760135496,15044,50527
2012,KENT COUNTY SCHOOLS,1507504,11869235,16128112,129000,979,1043,310,29504851,14456,2041
2012,MONTGOMERY COUNTY SCHOOLS,70140226,733157818,1370101480,13174062,41036,43919,17321,2173399524,15215,142837
2012,PRINCE GEORGES CO SCHS,110639400,992718327,617514500,11855100,63318,66677,14427,1720872227,14529,118442
2012,QUEEN ANNES COUNTY SCHOOLS,4924416,38870289,43528032,1939689,1638,1837,949,87322737,11627,7510
2012,ST MARYS CO SCHS,12158084,107372918,77045860,2949680,4582,4811,1875,196576862,11735,16750
2012,SOMERSET CO SCHS,3772052,26615818,8734324,185000,1773,1720,416,39122194,14586,2682
2012,TALBOT CO SCHS,2229271,15326743,32403006,197000,1489,1616,389,49959020,11675,4279
2012,WASHINGTON CO SCHS,16377553,172189333,89518310,964294,9652,10161,2381,278085196,12782,21756
2012,WICOMICO CO SCHOOLS,11845978,128375068,36196892,2317251,7243,7980,1701,176417938,12255,14395
2012,WORCESTER CO BOARD OF EDUCATION,5133349,26160586,71939828,275452,2611,2680,746,103233763,16506,6254
2013,ALLEGANY COUNTY PUBLIC SCHOOLS,8927089,84182178,29391956,418958,4436,1344,18,122501223,14567,8409
2013,ANNE ARUNDEL CO SCHS,38622200,377915415,584579700,3235000,21195,7945,3024,1001117315,13241,75602
2013,BALTIMORE CITY SCHOOLS,133899448,961636019,252813655,2360000,66683,14232,2499,1348349122,16849,80023
2013,BALTIMORE COUNTY SCHOOLS,65997044,645686878,689791448,11844212,44887,13573,3627,1401475370,13562,103335
