School District,County,Median List Price (District),Median List Price (County),List Price Premium (vs County),Listing Views (vs County),Days on Market (District),Days on Market (County),Days on Market (vs County %),Median Days on Market (vs County),Avg. School Rating
Beverly Hills Unified School District,"Los Angeles, CA","$3,785,000 ","$550,000 ",688%,156.41%,67,46,146%,21,9.1
Southampton Union Free School District,"Suffolk, NY","$3,150,000 ","$458,000 ",688%,68.75%,47,68,69%,-21,6.3
Bridgehampton Union Free School District,"Suffolk, NY","$2,999,000 ","$458,000 ",655%,68.75%,47,68,69%,-21,7
Highland Park Isd School District,"Dallas, TX","$1,750,000 ","$277,000 ",632%,50.75%,76,41,185%,35,10
Kenilworth Sd 38 School District,"Cook, IL","$1,612,000 ","$266,000 ",606%,59.68%,107,54,198%,53,10
Indian Hill Exempted Village School District,"Hamilton, OH","$930,000 ","$155,000 ",600%,142.86%,74,58,128%,16,9.9
Amagansett Union Free School District,"Suffolk, NY","$2,498,000 ","$458,000 ",545%,37.50%,47,68,69%,-21,8.9
Rye City School District,"Westchester, NY","$2,495,000 ","$475,000 ",525%,68.00%,81,62,131%,19,8
Winnetka Sd 36 School District,"Cook, IL","$1,385,000 ","$266,000 ",521%,67.74%,70,54,130%,16,10
Manhattan Beach Unified School District,"Los Angeles, CA","$2,863,000 ","$550,000 ",520%,130.77%,51,46,111%,5,10
Scarsdale Union Free School District,"Westchester, NY","$2,450,000 ","$475,000 ",516%,68.00%,86,62,139%,24,9.8
Rancho Santa Fe Elementary School District,"San Diego, CA","$3,395,000 ","$690,000 ",492%,40.32%,93,37,251%,56,9.7
Saddle River School District,"Bergen, NJ","$2,910,000 ","$609,000 ",478%,78.95%,97,61,158%,36,8.9
San Marino Unified School District,"Los Angeles, CA","$2,580,000 ","$550,000 ",469%,119.23%,46,47,99%,-1,9.7
Mariemont City School District,"Hamilton, OH","$725,000 ","$155,000 ",468%,71.43%,110,58,190%,52,8.6
Santa Monica-Malibu Unified School District,"Los Angeles, CA","$2,450,000 ","$550,000 ",445%,151.28%,53,46,115%,7,8.6
Glencoe Sd 35 School District,"Cook, IL","$1,150,000 ","$266,000 ",432%,90.32%,61,54,113%,7,9.7
East Hampton Union Free School District,"Suffolk, NY","$1,975,000 ","$458,000 ",431%,75.00%,47,68,69%,-21,7
Charlotte School District,"Lee, FL","$1,200,000 ","$279,000 ",430%,129.41%,139,87,160%,52,6.7
Collier School District,"Lee, FL","$1,198,000 ","$279,000 ",429%,105.88%,136,87,156%,49,7.6
Northville Public School District,"Wayne, MI","$587,000 ","$138,000 ",426%,185.16%,39,41,95%,-2,10
Avalon School District,"Cape May, NJ","$1,399,000 ","$330,000 ",424%,128.57%,120,112,107%,8,10
Stone Harbor School District,"Cape May, NJ","$1,399,000 ","$330,000 ",424%,135.71%,118,112,105%,6,6.9
Lee School District,"Collier, FL","$1,990,000 ","$480,000 ",415%,50.00%,156,109,143%,47,6.7
Summit City School District,"Union, NJ","$1,288,000 ","$319,000 ",404%,182.86%,51,60,86%,-9,9
Mountain Brook City School District,"Jefferson, AL","$720,000 ","$179,000 ",401%,148.15%,65,69,94%,-4,9.9
Bronxville Union Free School District,"Westchester, NY","$1,895,000 ","$475,000 ",399%,96.00%,81,62,131%,19,9.6
Weston School District,"Middlesex, MA","$2,199,000 ","$556,000 ",396%,27.87%,90,37,242%,53,9
Lake Forest Sd 67 School District,"Lake, IL","$1,275,000 ","$325,000 ",392%,80.65%,87,57,153%,30,10
Mercer Island School District,"King, WA","$2,437,000 ","$625,000 ",390%,115.15%,33,21,159%,12,9.8
Remsenburg-Speonk Union Free School District,"Suffolk, NY","$1,775,000 ","$458,000 ",388%,43.75%,102,68,150%,34,8
Radnor Township School District,"Delaware, PA","$880,000 ","$230,000 ",383%,112.20%,71,73,98%,-2,9.6
Cold Spring Harbor Central School District,"Suffolk, NY","$1,750,000 ","$458,000 ",382%,81.25%,90,68,132%,22,9
Montauk Union Free School District,"Suffolk, NY","$1,750,000 ","$458,000 ",382%,137.50%,47,68,69%,-21,9
Sag Harbor Union Free School District,"Suffolk, NY","$1,749,000 ","$458,000 ",382%,100.00%,47,68,69%,-21,8
Rumson Borough School District,"Monmouth, NJ","$1,949,000 ","$515,000 ",379%,127.91%,66,65,102%,1,9.7
Harrison Central School District,"Westchester, NY","$1,797,000 ","$475,000 ",378%,56.00%,84,62,135%,22,7
New Trier Twp Hsd 203 School District,"Cook, IL","$985,000 ","$266,000 ",370%,83.87%,64,54,119%,10,9.9
Carmel Unified School District,"Monterey, CA","$1,995,000 ","$539,000 ",370%,105.88%,94,55,171%,39,7.9
Tuxedo Union Free School District,"Orange, NY","$899,000 ","$245,000 ",367%,60.00%,146,94,155%,52,7
Manhasset Union Free School District,"Nassau, NY","$2,188,000 ","$599,000 ",365%,130.00%,58,66,88%,-8,9
La Canada Unified School District,"Los Angeles, CA","$2,000,000 ","$550,000 ",364%,135.90%,53,46,115%,7,9.9
Millburn Township School District,"Essex, NJ","$1,750,000 ","$485,000 ",361%,135.48%,62,53,117%,9,10
Greenville 01 School District,"Spartanburg, SC","$697,000 ","$198,000 ",352%,36.84%,107,65,164%,42,6.8
Revere Local School District,"Summit, OH","$445,000 ","$128,000 ",348%,145.24%,65,58,112%,7,9.2
Hillsborough City Elementary School District,"San Mateo, CA","$4,844,000 ","$1,398,000 ",346%,91.67%,75,31,240%,44,8
Hermosa Beach City Elementary School District,"Los Angeles, CA","$1,899,000 ","$550,000 ",345%,139.74%,32,46,70%,-14,9.9
Palos Verdes Peninsula Unified School District,"Los Angeles, CA","$1,899,000 ","$550,000 ",345%,112.82%,49,46,107%,3,9.2
Ladue School District,"St. Louis, MO","$749,000 ","$217,000 ",345%,114.89%,61,48,127%,13,8.6
Butler Sd 53 School District,"DuPage, IL","$1,200,000 ","$350,000 ",343%,83.33%,96,54,178%,42,10
Madeira City School District,"Hamilton, OH","$527,000 ","$155,000 ",341%,104.76%,60,58,103%,2,10
Wellesley School District,"Norfolk, MA","$1,850,000 ","$550,000 ",336%,43.40%,67,45,149%,22,8.9
Locust Valley Central School District,"Nassau, NY","$1,975,000 ","$599,000 ",330%,80.00%,86,66,130%,20,7
Sunset Ridge Sd 29 School District,"Cook, IL","$875,000 ","$266,000 ",329%,90.32%,61,54,113%,7,9.7
Watersmeet Township School District,"Gogebic, MI","$279,000 ","$86,000 ",325%,54.55%,255,103,248%,152,5
Greenwich School District,"Fairfield, CT","$2,495,000 ","$785,000 ",318%,61.90%,90,75,120%,15,7.7
East Williston Union Free School District,"Nassau, NY","$1,888,000 ","$599,000 ",315%,70.00%,72,66,109%,6,9.6
Hinsdale Ccsd 181 School District,"DuPage, IL","$1,099,000 ","$350,000 ",314%,79.49%,73,54,135%,19,10
Tuckahoe Common School District,"Suffolk, NY","$1,437,000 ","$458,000 ",314%,56.25%,47,68,69%,-21,6.9
Carroll Isd,"Tarrant, TX","$779,000 ","$250,000 ",312%,74.65%,53,38,139%,15,9.8
Haddonfield Borough School District,"Camden, NJ","$584,000 ","$189,000 ",309%,163.64%,85,79,108%,6,8.9
Lake Forest Chsd 115 School District,"Lake, IL","$995,000 ","$325,000 ",306%,87.10%,79,57,138%,22,9.7
Palo Alto Unified School District,"Santa Clara, CA","$2,888,000 ","$950,000 ",304%,131.25%,31,32,97%,-1,9.6
Lafayette Elementary School District,"Contra Costa, CA","$1,629,000 ","$540,000 ",302%,140.00%,37,34,109%,3,9.7
Clarence Central School District,"Erie, NY","$480,000 ","$160,000 ",300%,66.00%,55,41,134%,14,9.5
Bainbridge Island School District,"Kitsap, WA","$1,094,000 ","$365,000 ",300%,148.75%,36,34,104%,2,9
New Albany-Plain Local School District,"Franklin, OH","$560,000 ","$190,000 ",295%,92.13%,52,38,137%,14,9.5
Los Altos Elementary School District,"Santa Clara, CA","$2,798,000 ","$950,000 ",295%,125.00%,33,32,103%,1,9.5
Mountain View-Los Altos Union High School District,"Santa Clara, CA","$2,798,000 ","$950,000 ",295%,125.00%,33,32,103%,1,9.5
Saratoga Union Elementary School District,"Santa Clara, CA","$2,795,000 ","$950,000 ",294%,131.25%,39,32,122%,7,9
Westfield School District,"Union, NJ","$937,000 ","$319,000 ",294%,145.71%,56,59,95%,-3,8.9
Eanes Isd School District,"Travis, TX","$1,350,000 ","$460,000 ",293%,111.36%,72,45,160%,27,10
Wilmette Sd 39 School District,"Cook, IL","$780,000 ","$266,000 ",293%,83.87%,58,54,107%,4,10
Byram Hills Central School District,"Westchester, NY","$1,390,000 ","$475,000 ",293%,80.00%,72,62,116%,10,9.7
Long Beach Island School District,"Ocean, NJ","$935,000 ","$320,000 ",292%,131.58%,120,92,130%,28,6.8
Sycamore Community City School District,"Hamilton, OH","$450,000 ","$155,000 ",290%,109.52%,55,58,95%,-3,10
Rumson-Fair Haven Regiona School District,"Monmouth, NJ","$1,495,000 ","$515,000 ",290%,148.84%,66,65,102%,1,9.6
Grosse Ile Township School District,"Wayne, MI","$400,000 ","$138,000 ",290%,135.94%,66,41,161%,25,9
Hudson City School District,"Summit, OH","$369,000 ","$128,000 ",289%,183.33%,61,58,105%,3,9.5
Arcadia Unified School District,"Los Angeles, CA","$1,569,000 ","$550,000 ",285%,46.15%,48,46,104%,2,9.5
College Elementary School District,"Santa Barbara, CA","$1,750,000 ","$615,000 ",285%,34.09%,163,63,258%,100,8
Chagrin Falls Exempted Village School District,"Cuyahoga, OH","$450,000 ","$159,000 ",283%,113.95%,79,62,127%,17,9
Anthony Wayne Local School District,"Lucas, OH","$290,000 ","$103,000 ",282%,172.97%,46,59,78%,-13,10
Las Virgenes Unified School District,"Los Angeles, CA","$1,539,000 ","$550,000 ",280%,215.38%,60,46,130%,14,7.9
Lavallette Borough School District,"Ocean, NJ","$887,000 ","$320,000 ",277%,189.47%,93,92,101%,1,8
Keller Isd School District,"Denton, TX","$979,000 ","$354,000 ",277%,105.48%,61,38,161%,23,9.7
Clayton School District,"St. Louis, MO","$597,000 ","$217,000 ",275%,146.81%,51,48,106%,3,9.2
Margate City School District,"Atlantic, NJ","$549,000 ","$200,000 ",275%,109.52%,97,103,94%,-6,7.9
Unionville-Chadds Ford School District,"Delaware, PA","$630,000 ","$230,000 ",274%,119.51%,102,72,142%,30,9.8
Oldham County School District,"Jefferson, KY","$515,000 ","$189,000 ",272%,90.32%,59,47,126%,12,9.5
